target_id	length	eff_length	est_counts	tpm
AT1G50920.1	2394	2215	76	44.9417
AT1G36960.1	546	367	0	0
AT1G44020.1	2314	2135	0	0
AT1G15970.1	1658	1479	6	5.31365
AT1G73440.1	1453	1274	5	5.14056
AT1G75120.1	1520	1341	7	6.83721
AT1G17600.1	3332	3153	2	0.830837
AT1G50860.1	3846	3667	0	0
AT1G51380.1	1452	1273	0	0
AT1G77370.1	620	441	27	80.1927
AT1G44090.1	1158	979	0	0
AT1G10950.1	2245	2066	81	51.3529
AT1G31870.1	2134	1955	17	11.3897
AT1G51360.1	717	538	3	7.3038
AT1G14940.1	757	578	0	0
AT1G50950.1	1782	1603	1	0.817102
AT1G75110.1	1568	1389	1	0.942991
AT1G17400.1	1477	1298	0	0
AT1G50930.1	790	611	0	0
AT1G17390.1	1024	845	0	0
AT1G09400.1	1182	1003	0	0
AT1G09415.1	655	476	21	57.7859
AT1G74730.1	891	712	62	114.057
AT1G75100.1	2279	2100	50	31.1861
AT1G75240.1	1608	1429	34	31.1642
AT1G14920.1	2129	1950	84	56.4228
AT1G65510.1	480	301	8	34.8124
AT1G75250.1	381	202	1	6.48423
AT1G54410.1	728	549	637	1519.77
AT1G09410.1	2118	1939	3	2.02653
AT1G54420.1	363	184	0	0
AT1G54430.1	4920	4741	0	0
AT1G75090.1	1303	1124	3	3.49595
AT1G36950.1	681	502	0	0
AT1G50940.1	1389	1210	15	16.2374
AT1G14930.1	719	540	0	0
AT1G65970.1	737	558	16.3991	38.4943
AT1G17410.1	795	616	2	4.25265
AT1G31880.1	1574	1395	4.99529	4.69025
AT1G77320.1	3383	3204	5	2.04403
AT1G77500.1	3158	2979	11	4.83651
AT1G51320.1	1128	949	0	0
AT1G43990.1	3294	3115	0	0
AT1G74770.1	3904	3725	4	1.40651
AT1G75080.1	1563	1384	25.6336	24.2596
AT1G14890.1	944	765	25	42.8044
AT1G51330.1	582	403	0	0
AT1G80350.1	1932	1753	14	10.4606
AT1G14900.1	1025	846	29	44.8991
AT1G15960.1	2137	1958	0	0
AT1G14980.1	690	511	75	192.243
AT1G14910.1	2413	2234	64	37.5238
AT1G44100.1	2151	1972	13	8.63468
AT1G42450.1	3260	3081	0	0
AT1G15000.1	1471	1292	22	22.3033
AT1G31850.1	2324	2145	25	15.2659
AT1G79210.1	1061	882	29	43.0665
AT1G67160.1	1353	1174	0	0
AT1G42350.1	7480	7301	1	0.179402
AT1G20960.1	7013	6834	108.819	20.8564
AT1G74780.1	1976	1797	7	5.10223
AT1G65620.1	1381	1202	2	2.17939
AT1G12680.1	1933	1754	11	8.21435
AT1G74790.1	2458	2279	23	13.2188
AT1G77510.1	1798	1619	30	24.2708
AT1G43980.1	1866	1687	0	0
AT1G77300.1	5791	5612	23	5.36809
AT1G80340.1	1083	904	0	0
AT1G65985.1	1456	1277	2	2.05139
AT1G43995.1	494	315	0	0
AT1G51340.2	1870	1691	5	3.8729
AT1G31860.1	1065	886	17	25.1319
AT1G73450.1	3721	3542	11.6142	4.29488
AT1G21070.1	1663	1484	5	4.41312
AT1G51350.1	2441	2262	8	4.63241
AT1G14950.1	845	666	0	0
AT1G09440.1	1593	1414	6	5.55791
AT1G09390.1	1341	1162	21	23.6714
AT1G22840.1	730	551	78.2891	186.106
AT1G09430.1	1838	1659	62	48.9503
AT1G44010.1	778	599	0	0
AT1G80360.1	1492	1313	36	35.9127
AT1G73445.1	735	556	1	2.35578
AT1G74720.1	3757	3578	13	4.75897
AT1G65980.1	890	711	146.626	270.116
AT1G44000.1	1108	929	37	52.167
AT1G65940.1	450	271	0	0
AT1G75260.1	1633	1454	1	0.900835
AT1G31900.1	258	79.0036	0	0
AT1G14970.1	1825	1646	3	2.38727
AT1G42320.1	4574	4395	0	0
AT1G14960.1	688	509	2	5.14662
AT1G12670.1	305	126	0	0
AT1G73460.1	3703	3524	19.3858	7.20539
AT1G09450.1	2096	1917	2	1.36653
AT1G51355.1	750	571	0	0
AT1G36750.1	1078	899	0	0
AT1G12660.1	414	235	0	0
AT1G75130.1	1660	1481	10	8.84412
AT1G21120.1	1358	1179	0	0
AT1G09740.1	843	664	35	69.0414
AT1G21110.1	1385	1206	5.60059	6.0827
AT1G50900.1	793	614	61.7541	131.737
AT1G37000.1	660	481	0	0
AT1G77330.1	1239	1060	15	18.5351
