target_id	length	eff_length	est_counts	tpm
AT1G50920.1	2394	2215	74	48.2846
AT1G36960.1	546	367	0	0
AT1G44020.1	2314	2135	0	0
AT1G15970.1	1658	1479	11	10.7492
AT1G73440.1	1453	1274	3	3.40332
AT1G75120.1	1520	1341	3	3.23328
AT1G17600.1	3332	3153	0	0
AT1G50860.1	3846	3667	0	0
AT1G51380.1	1452	1273	1	1.13533
AT1G77370.1	620	441	22	72.0999
AT1G44090.1	1158	979	0	0
AT1G10950.1	2245	2066	124	86.7445
AT1G31870.1	2134	1955	9	6.65344
AT1G51360.1	717	538	7	18.8047
AT1G14940.1	757	578	0	0
AT1G50950.1	1782	1603	0	0
AT1G75110.1	1568	1389	4	4.16206
AT1G17400.1	1477	1298	1	1.11346
AT1G50930.1	790	611	0	0
AT1G17390.1	1024	845	0	0
AT1G09400.1	1182	1003	3.313	4.77388
AT1G09415.1	655	476	10	30.3629
AT1G74730.1	891	712	79	160.361
AT1G75100.1	2279	2100	50	34.4113
AT1G75240.1	1608	1429	25	25.2847
AT1G14920.1	2129	1950	84	62.258
AT1G65510.1	480	301	3	14.4047
AT1G75250.1	381	202	0	0
AT1G54410.1	728	549	472	1242.57
AT1G09410.1	2118	1939	0	0
AT1G54420.1	363	184	0	0
AT1G54430.1	4920	4741	0	0
AT1G75090.1	1303	1124	2	2.57166
AT1G36950.1	681	502	0	0
AT1G50940.1	1389	1210	15	17.9166
AT1G14930.1	719	540	0	0
AT1G65970.1	737	558	8.99866	23.3074
AT1G17410.1	795	616	4	9.38491
AT1G31880.1	1574	1395	1	1.03604
AT1G77320.1	3383	3204	4	1.80434
AT1G77500.1	3158	2979	4	1.94062
AT1G51320.1	1128	949	0	0
AT1G43990.1	3294	3115	0	0
AT1G74770.1	3904	3725	7	2.71595
AT1G75080.1	1563	1384	24.5547	25.6419
AT1G14890.1	944	765	23	43.4527
AT1G51330.1	582	403	0	0
AT1G80350.1	1932	1753	20	16.4892
AT1G14900.1	1025	846	20	34.1673
AT1G15960.1	2137	1958	5.56119	4.10493
AT1G14980.1	690	511	56	158.386
AT1G14910.1	2413	2234	32	20.7022
AT1G44100.1	2151	1972	8	5.86319
AT1G42450.1	3260	3081	0	0
AT1G15000.1	1471	1292	21.244	23.7643
AT1G31850.1	2324	2145	19	12.802
AT1G79210.1	1061	882	19	31.1341
AT1G67160.1	1353	1174	0	0
AT1G42350.1	7480	7301	0	0
AT1G20960.1	7013	6834	120	25.378
AT1G74780.1	1976	1797	3	2.41281
