target_id	length	eff_length	est_counts	tpm
AT1G50920.1	2394	2215	82	48.2115
AT1G36960.1	546	367	0	0
AT1G44020.1	2314	2135	0	0
AT1G15970.1	1658	1479	14	12.3274
AT1G73440.1	1453	1274	3	3.06664
AT1G75120.1	1520	1341	6	5.82684
AT1G17600.1	3332	3153	2	0.826069
AT1G50860.1	3846	3667	0	0
AT1G51380.1	1452	1273	4	4.09206
AT1G77370.1	620	441	34	100.404
AT1G44090.1	1158	979	0	0
AT1G10950.1	2245	2066	85	53.5796
AT1G31870.1	2134	1955	13	8.65979
AT1G51360.1	717	538	5	12.1031
AT1G14940.1	757	578	0	0
AT1G50950.1	1782	1603	1	0.812413
AT1G75110.1	1568	1389	1	0.93758
AT1G17400.1	1477	1298	0	0
AT1G50930.1	790	611	0	0
AT1G17390.1	1024	845	0	0
AT1G09400.1	1182	1003	0	0
AT1G09415.1	655	476	9	24.6233
AT1G74730.1	891	712	92	168.275
AT1G75100.1	2279	2100	39	24.1855
AT1G75240.1	1608	1429	22	20.0494
AT1G14920.1	2129	1950	82	54.7633
AT1G65510.1	480	301	9	38.9392
AT1G75250.1	381	202	1	6.44702
AT1G54410.1	728	549	656	1556.12
AT1G09410.1	2118	1939	1	0.671634
AT1G54420.1	363	184	0	0
AT1G54430.1	4920	4741	0	0
AT1G75090.1	1303	1124	0	0
AT1G36950.1	681	502	0	0
AT1G50940.1	1389	1210	12	12.9154
AT1G14930.1	719	540	0	0
AT1G65970.1	737	558	31.8448	74.3215
AT1G17410.1	795	616	5	10.5706
AT1G31880.1	1574	1395	2	1.86709
AT1G77320.1	3383	3204	6	2.43876
AT1G77500.1	3158	2979	5	2.1858
AT1G51320.1	1128	949	0	0
AT1G43990.1	3294	3115	0	0
AT1G74770.1	3904	3725	18	6.29299
AT1G75080.1	1563	1384	15.1884	14.2917
AT1G14890.1	944	765	33	56.1776
AT1G51330.1	582	403	0	0
AT1G80350.1	1932	1753	21	15.6008
AT1G14900.1	1025	846	28	43.1021
AT1G15960.1	2137	1958	2.5367	1.6872
AT1G14980.1	690	511	71	180.946
