target_id	length	eff_length	est_counts	tpm
AT1G50920.1	2394	2215	90	52.3065
AT1G36960.1	546	367	0	0
AT1G44020.1	2314	2135	0	0
AT1G15970.1	1658	1479	18	15.6672
AT1G73440.1	1453	1274	10	10.1046
AT1G75120.1	1520	1341	8	7.67977
AT1G17600.1	3332	3153	1	0.408285
AT1G50860.1	3846	3667	0	0
AT1G51380.1	1452	1273	1	1.01125
AT1G77370.1	620	441	18	52.5437
AT1G44090.1	1158	979	0	0
AT1G10950.1	2245	2066	95	59.1944
AT1G31870.1	2134	1955	18	11.8526
AT1G51360.1	717	538	6	14.3567
AT1G14940.1	757	578	0	0
AT1G50950.1	1782	1603	3	2.40921
AT1G75110.1	1568	1389	0	0
AT1G17400.1	1477	1298	1	0.991773
AT1G50930.1	790	611	0	0
AT1G17390.1	1024	845	0	0
AT1G09400.1	1182	1003	1.11564	1.43189
AT1G09415.1	655	476	9	24.3401
AT1G74730.1	891	712	80	144.643
AT1G75100.1	2279	2100	38	23.2944
AT1G75240.1	1608	1429	19	17.1162
AT1G14920.1	2129	1950	93	61.3953
AT1G65510.1	480	301	5	21.3841
AT1G75250.1	381	202	1	6.37288
AT1G54410.1	728	549	484	1134.91
AT1G09410.1	2118	1939	1	0.66391
AT1G54420.1	363	184	0	0
AT1G54430.1	4920	4741	0	0
AT1G75090.1	1303	1124	2	2.29061
AT1G36950.1	681	502	1	2.56439
AT1G50940.1	1389	1210	7	7.44731
AT1G14930.1	719	540	0	0
AT1G65970.1	737	558	19.0938	44.05
AT1G17410.1	795	616	4	8.35923
AT1G31880.1	1574	1395	0	0
AT1G77320.1	3383	3204	3	1.20536
AT1G77500.1	3158	2979	6	2.59279
AT1G51320.1	1128	949	0	0
AT1G43990.1	3294	3115	0	0
AT1G74770.1	3904	3725	8	2.76472
AT1G75080.1	1563	1384	17	15.8125
AT1G14890.1	944	765	38	63.9454
AT1G51330.1	582	403	0	0
AT1G80350.1	1932	1753	21	15.4214
AT1G14900.1	1025	846	40	60.8663
AT1G15960.1	2137	1958	5.14063	3.3798
AT1G14980.1	690	511	139	350.172
AT1G14910.1	2413	2234	41	23.6259
AT1G44100.1	2151	1972	7	4.5696
AT1G42450.1	3260	3081	0	0
AT1G15000.1	1471	1292	13	12.9529
AT1G31850.1	2324	2145	20	12.003
AT1G79210.1	1061	882	33	48.1651
AT1G67160.1	1353	1174	0	0
AT1G42350.1	7480	7301	0	0
AT1G20960.1	7013	6834	119	22.416
AT1G74780.1	1976	1797	6	4.29824
AT1G65620.1	1381	1202	2	2.14197
AT1G12680.1	1933	1754	15	11.009
AT1G74790.1	2458	2279	21	11.8621
AT1G77510.1	1798	1619	31	24.6491
AT1G43980.1	1866	1687	2	1.52617
AT1G77300.1	5791	5612	31	7.11101
AT1G80340.1	1083	904	0	0
AT1G65985.1	1456	1277	3	3.02425
AT1G43995.1	494	315	0	0
AT1G51340.2	1870	1691	9	6.8515
AT1G31860.1	1065	886	16	23.2473
AT1G73450.1	3721	3542	9.74187	3.54063
AT1G21070.1	1663	1484	7	6.07227
AT1G51350.1	2441	2262	6	3.41465
AT1G14950.1	845	666	0	0
AT1G09440.1	1593	1414	6	5.46247
AT1G09390.1	1341	1162	9.88436	10.9504
AT1G22840.1	730	551	79.1584	184.941
AT1G09430.1	1838	1659	62	48.1097
AT1G44010.1	778	599	0	0
AT1G80360.1	1492	1313	26	25.4915
AT1G73445.1	735	556	1	2.31533
AT1G74720.1	3757	3578	25	8.9947
